year,residential_status,unemployed
1992,citizen,29600
1993,citizen,28800
1994,citizen,30300
1995,citizen,31300
1996,citizen,31600
1997,citizen,29400
1998,citizen,52100
1999,citizen,57900
2000,citizen,55900
2001,citizen,57900
2002,citizen,75200
2003,citizen,82600
2004,citizen,72700
2005,citizen,67600
2006,citizen,59800
2007,citizen,50800
2008,citizen,56000
2009,citizen,75700
2010,citizen,57700
2011,citizen,52900
2012,citizen,53900
2013,citizen,52900
2014,citizen,53900
2015,citizen,55700
2016,citizen,59100
